                                   | Core 0     | Core 1    
  Instructions                     |   15001137 |   14989998
  Cycles                           |   16135078 |   16135078
  IPC                              |       0.93 |       0.93
  Time (ns)                        |    6065819 |    6065819
  Idle time (ns)                   |        126 |       -927
  Idle time (%)                    |       0.0% |      -0.0%
Branch predictor stats             |            |           
  num correct                      |    4616312 |    4624489
  num incorrect                    |     141624 |     143404
  misprediction rate               |      2.98% |      3.01%
  mpki                             |       9.44 |       9.57
TLB Summary                        |            |           
Cache Summary                      |            |           
  Cache L1-I                       |            |           
    num cache accesses             |          0 |          0
    num cache misses               |          0 |          0
    miss rate                      |       inf% |       inf%
    mpki                           |       0.00 |       0.00
  Cache L1-D                       |            |           
    num cache accesses             |    3286788 |    3298984
    num cache misses               |         41 |         39
    miss rate                      |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00
  Cache L2                         |            |           
    num cache accesses             |         41 |         39
    num cache misses               |          2 |          0
    miss rate                      |      4.88% |      0.00%
    mpki                           |       0.00 |       0.00
  Cache L3                         |            |           
    num cache accesses             |          2 |          0
    num cache misses               |          2 |          0
    miss rate                      |    100.00% |       inf%
    mpki                           |       0.00 |       0.00
DRAM summary                       |            |           
  num dram accesses                |          2 |          0
  average dram access latency (ns) |      56.39 |        inf
  average dram queueing delay      |       0.00 |       0.00
